"filename", "language", "Markdown", "C++", "Properties", "C", "JSON", "Shell Script", "YAML", "Ini", "Python", "comment", "blank", "total"
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\strandtest_nodelay\strandtest_nodelay.ino", "C++", 0, 129, 0, 0, 0, 0, 0, 0, 0, 41, 17, 187
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\examples\strandtest_wheel\strandtest_wheel.ino", "C++", 0, 92, 0, 0, 0, 0, 0, 0, 0, 23, 20, 135
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\kendyte_k210.c", "C", 0, 0, 0, 61, 0, 0, 0, 0, 0, 3, 11, 75
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\library.properties", "Properties", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Adafruit_NeoPixel\rp2040_pio.h", "C++", 0, 43, 0, 0, 0, 0, 0, 0, 0, 10, 11, 64
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\ISSUE_TEMPLATE.md", "Markdown", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 64
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\README.md", "Markdown", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 45
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\appveyor.yml", "YAML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 16, 52
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_AT_Firmware\AT_Firmware_WiFi\AT_Firmware_WiFi.ino", "C++", 0, 10, 0, 0, 0, 0, 0, 0, 0, 44, 4, 58
"c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\Blinker\examples\Blinker_ArduinoJson\ArduinoJson_WiFi\ArduinoJson_WiFi.ino", "C++", 0, 43, 0, 0, 0, 0, 0, 0, 0, 44, 17, 104
